A009;Choléra, sans précision
A060;Dysenterie amibienne (aiguë)
A062;Colite amibienne non dysentérique
A064;Abcès amibien du foie
A066;Abcès amibien du cerveau (G07*)
A068;Autres localisations d'une infection amibienne
A069;Amibiase, sans précision
A072;Cryptosporidiose
A073;Infection à Isospora
A078;Autres maladies intestinales précisées, à protozoaires
A079;Maladie intestinale à protozoaires, sans précision
A081;Gastro-entéropathie (aiguë) à l'agent de Norwalk
A082;Entérite à adénovirus
A083;Autres entérites virales
A085;Autres infections intestinales précisées
A09;Diarrhée et gastro-entérite d'origine présumée infectieuse
A150;Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture
A151;Tuberculose pulmonaire, confirmée par culture seulement
A152;Tuberculose pulmonaire, avec confirmation histologique
A153;Tuberculose pulmonaire, avec confirmation, moyen non précisé
A154;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique
A155;Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique
A156;Pleurésie tuberculeuse, avec confirmation bactériologique et histologique
A158;Autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique
A159;Tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique
A160;Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs
A161;Tuberculose pulmonaire, sans examen bactériologique et histologique
A162;Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)
A163;Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)
A164;Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)
A165;Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)
A168;Autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)
A169;Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)
A170;Méningite tuberculeuse (G01*)
A171;Tuberculome méningé (G07*)
A179;Tuberculose du système nerveux, sans précision (G99.8*)
A180;Tuberculose des os et des articulations
A181;Tuberculose de l'appareil génito-urinaire
A182;Adénopathie tuberculeuse périphérique
A184;Tuberculose de la peau et du tissu cellulaire sous-cutané
A185;Tuberculose de l'oil
A186;Tuberculose de l'oreille
A187;Tuberculose des surrénales (E35.1*)
A188;Tuberculose d'autres organes précisés
A190;Tuberculose miliaire aiguë, localisation unique et précisée
A191;Tuberculose miliaire aiguë, sièges multiples
A198;Autres tuberculoses miliaires
A199;Tuberculose miliaire, sans précision
A200;Peste bubonique
A203;Peste méningée
A207;Peste septicémique
A208;Autres formes de peste
A210;Tularémie ulcéro-glandulaire
A212;Tularémie pulmonaire
A213;Tularémie gastro-intestinale
A217;Tularémie généralisée
A219;Tularémie, sans précision
A221;Charbon pulmonaire
A222;Charbon gastro-intestinal
A227;Septicémie charbonneuse
A229;Charbon, sans précision
A230;Brucellose à Brucella melitensis
A231;Brucellose à Brucella abortus
A232;Brucellose à Brucella suis
A238;Autres brucelloses
A239;Brucellose, sans précision
A240;Morve
A241;Mélioïdose aiguë et galopante
A243;Autres mélioïdoses
A250;Spirillose
A259;Fièvre causée par morsure de rat, sans précision
A260;Érysipéloïde cutanée
A267;Septicémie à Erysipelothrix
A268;Autres formes d'érysipéloïde
A270;Leptospirose ictéro-hémorragique
A278;Autres formes de leptospirose
A280;Pasteurellose
A281;Maladie des griffes du chat
A282;Yersiniose extra-intestinale
A288;Autres anthropozoonoses bactériennes précisées, non classées ailleurs
A289;Anthropozoonose bactérienne, sans précision
A300;Lèpre indéterminée
A301;Lèpre tuberculoïde
A302;Lèpre tuberculoïde de type intermédiaire atypique
A303;Lèpre de type intermédiaire atypique
A305;Lèpre lépromateuse
A309;Lèpre, sans précision
A310;Infection pulmonaire à mycobacties atypiques
A311;Infection cutanée à mycobacteries atypiques
A318;Autres infections à mycobacteries atypiques
A320;Listériose cutanée
A321;Méningite et méningo-encéphalite listériennes
A327;Septicémie listérienne
A329;Listériose, sans précision
A34;Tétanos obstétrical
A35;Autres formes de tétanos
A360;Diphtérie pharyngée
A362;Diphtérie laryngée
A363;Diphtérie cutanée
A368;Autres formes de diphtérie
A370;Coqueluche à Bordetella pertussis
A371;Coqueluche à Bordetella parapertussis
A378;Coqueluche due à d'autres espèces de Bordetella
A379;Coqueluche, sans précision
A390;Méningite à méningocoques (G01*)
A391;Syndrome de Waterhouse-Friderichsen (E35.1*)
A393;Méningococcémie chronique
A395;Cardite à méningocoques
A398;Autres infections à méningocoques
A399;Infection méningococcique, sans précision
A400;Septicémie à streptocoques, groupe A
A401;Septicémie à streptocoques, groupe B
A402;Septicémie à streptocoques, groupe D
A403;Septicémie à Streptococcus pneumoniae
A409;Septicémie à streptocoques, sans précision
A410;Septicémie à staphylocoques dorés
A412;Septicémie à staphylocoques non précisés
A413;Septicémie à Haemophilus influenzae
A414;Septicémie à micro-organismes anaérobies
A415;Septicémie à d'autres micro-organismes Gram négatif
A418;Autres septicémies précisées
A421;Actinomycose abdominale
A427;Septicémie actinomycosique
A428;Autres formes d'actinomycose
A429;Actinomycose, sans précision
A430;Nocardiose pulmonaire
A438;Autres formes de nocardiose
A440;Bartonellose généralisée
A441;Bartonellose cutanée et cutanéo-muqueuse
A448;Autres formes de bartonellose
A449;Bartonellose, sans précision
A481;Maladie des légionnaires (pulmonaire)
A482;Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]
A483;Syndrome du choc toxique
A484;Fièvre purpurique du Brésil
A490;Infection à staphylocoques, sans précision
A491;Infection à streptocoques, sans précision
A492;Infection à Haemophilus influenzae, sans précision
A493;Infection à Mycoplasma, sans précision
A499;Infection bactérienne, sans précision
A500;Syphilis congénitale précoce, symptomatique
A502;Syphilis congénitale précoce, sans précision
A503;Oculopathie syphilitique congénitale tardive
A504;Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile]
A505;Autres formes tardives de syphilis congénitale, symptomatique
A506;Syphilis congénitale tardive, latente
A507;Syphilis congénitale tardive, sans précision
A512;Syphilis primaire d'autres localisations
A514;Autres formes de syphilis secondaire
A521;Syphilis nerveuse symptomatique
A522;Syphilis nerveuse asymptomatique
A527;Autres formes tardives de syphilis symptomatique
A539;Syphilis, sans précision
A540;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes)
A541;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes
A542;Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques
A543;Infection gonococcique de l'oil
A545;Pharyngite gonococcique
A546;Infection gonococcique de l'anus et du rectum
A548;Autres infections gonococciques
A55;Lymphogranulomatose vénérienne à Chlamydia
A560;Infection à Chlamydia de la partie inférieure de l'appareil génito-urinaire
A561;Infection à Chlamydia, pelvi-péritonéale et des autres organes génito-urinaires
A562;Infection à Chlamydia de l'appareil génito-urinaire, sans précision
A563;Infection à Chlamydia de l'anus et du rectum
A568;Infection à Chlamydia transmise par voie sexuelle, autres localisations
A57;Chancre mou
A598;Autres localisations de trichomonase
A599;Trichomonase, sans précision
A600;Infection des organes génitaux et de l'appareil génito-urinaire par le virus de l'herpès
A601;Infection de la marge cutanée de l'anus et du rectum, par le virus de l'herpès
A609;Infection ano-génitale par le virus de l'herpès, sans précision
A630;Condylomes ano-génitaux (vénériens)
A638;Autres maladies précisées dont le mode de transmission est essentiellement sexuel
A64;Maladie sexuellement transmise, sans précision
A65;Syphilis non vénérienne
A660;Lésions initiales du pian
A662;Autres lésions cutanées précoces du pian
A663;Hyperkératose pianique
A664;Gommes et ulcères pianiques
A665;Gangosa
A667;Autres manifestations du pian
A669;Pian, sans précision
A670;Lésions initiales de la pinta
A672;Lésions tardives de la pinta
A679;Pinta, sans précision
A680;Fièvre récurrente [borréliose] à poux
A681;Fièvre récurrente [borréliose] à tiques
A689;Fièvre récurrente [borréliose], sans précision
A690;Stomatite ulcéro-nécrotique
A691;Autres infections dites de Vincent
A698;Autres infections à spirochètes précisées
A699;Infection à spirochètes, sans précision
A710;Phase initiale du trachome
A711;Phase active du trachome
A719;Trachome, sans précision
A740;Conjonctivite à Chlamydia (H13.1*)
A749;Infection à Chlamydia, sans précision
A750;Typhus épidémique à poux dû à Rickettsia prowazekii
A751;Typhus résurgent [maladie de Brill]
A753;Typhus à Rickettsia tsutsugamushi
A759;Typhus, sans précision
A771;Fièvre pourprée à Rickettsia conorii
A772;Fièvre pourprée due à Rickettsia sibirica
A773;Fièvre pourprée due à Rickettsia australis
A778;Autres fièvres pourprées
A78;Fièvre Q
A790;Fièvres des tranchées
A791;Rickettsiose varicelliforme due à Rickettsia akari
A798;Autres types précisés de rickettsiose
A800;Poliomyélite paralytique aiguë, associée au virus vaccinal
A801;Poliomyélite paralytique aiguë, virus sauvage importé
A802;Poliomyélite paralytique aiguë, virus sauvage indigène
A803;Poliomyélites paralytiques aiguës, autres et sans précision
A804;Poliomyélite aiguë non paralytique
A810;Maladie de Creutzfeldt-Jakob
A812;Leucoencéphalopathie multifocale (progressive)
A818;Autres infections atypiques à virus, du système nerveux central
A819;Infection atypique à virus, du système nerveux central, sans précision
A821;Rage des rues [rage citadine]
A830;Encéphalite japonaise
A831;Encéphalite équine occidentale
A832;Encéphalite équine orientale
A833;Encéphalite de Saint-Louis
A834;Encéphalite australienne
A835;Encéphalite de Californie
A838;Autres encéphalites virales transmises par des moustiques
A839;Encéphalite virale transmise par des moustiques, sans précision
A840;Encéphalite de la taïga [encéphalite verno-estivale russe]
A841;Encéphalite d'Europe centrale transmise par des tiques
A848;Autres encéphalites virales transmises par des tiques
A849;Encéphalite virale transmise par des tiques, sans précision
A851;Encéphalite à adénovirus (G05.1*)
A852;Encéphalite virale transmise par des arthropodes, sans précision
A858;Autres encéphalites virales précisées
A870;Méningite à entérovirus (G02.0*)
A872;Chorioméningite lymphocytaire
A879;Méningite virale, sans précision
A880;Fièvre exanthémateuse à entérovirus [exanthème de Boston]
A881;Vertige épidémique
A888;Autres infections virales précisées du système nerveux central
A89;Infection virale du système nerveux central, sans précision
A91;Fièvre hémorragique due au virus de la dengue
A920;Fièvre de Chikungunya
A921;Fièvre due au virus O'nyong-nyong
A923;Fièvre West Nile
A928;Autres fièvres virales précisées, transmises par des moustiques
A929;Fièvre virale transmise par des moustiques, sans précision
A930;Fièvre d'Oropouche
A931;Fièvre à phlébotome
A938;Autres fièvres virales précisées, transmises par des arthropodes
A94;Fièvre virale transmise par des arthropodes, sans précision
A950;Fièvre jaune sylvatique
A960;Fièvre hémorragique de Junin
A961;Fièvre hémorragique de Machupo
A969;Fièvre hémorragique à arénavirus, sans précision
A980;Fièvre hémorragique de Crimée [du Congo]
A981;Fièvre hémorragique d'Omsk
A982;Maladie de la forêt de Kyasanur
A983;Maladie de Marburg
A985;Fièvre hémorragique avec syndrome rénal
A988;Autres fièvres hémorragiques virales précisées
A99;Fièvre hémorragique virale, sans précision
B001;Dermite vésiculaire due au virus de l'herpès
B002;Gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès
B003;Méningite due au virus de l'herpès (G02.0*)
B005;Affections oculaires dues au virus de l'herpès
B007;Maladie disséminée due au virus de l'herpès
B008;Autres formes d'infection due au virus de l'herpès
B009;Infection due au virus de l'herpès, sans précision
B010;Méningite varicelleuse (G02.0*)
B012;Pneumopathie varicelleuse (J17.1*)
B019;Varicelle (sans complication)
B020;Encéphalite zostérienne (G05.1*)
B021;Méningite zostérienne (G02.0*)
B022;Zona accompagné d'autres manifestations neurologiques
B023;Zona ophtalmique
B028;Zona avec autres complications
B029;Zona (sans complication)
B050;Rougeole compliquée d'une encéphalite (G05.1*)
B051;Rougeole compliquée d'une méningite (G02.0*)
B052;Rougeole compliquée d'une pneumopathie (J17.1*)
B053;Rougeole compliquée d'une otite moyenne (H67.1*)
B054;Rougeole avec complications intestinales
B058;Rougeole avec autres complications
B060;Rubéole avec complications neurologiques
B068;Rubéole avec autres complications
B07;Verrues d'origine virale
B081;Molluscum contagiosum
B082;Exanthème subit [sixième maladie] [roséole infantile]
B083;Érythème infectieux [cinquième maladie] [mégalérythème épidémique]
B084;Stomatite vésiculaire avec exanthème, due à un entérovirus
B088;Autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses
B09;Infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision
B150;Hépatite A avec coma hépatique
B160;Hépatite aiguë B avec agent delta, avec coma hépatique
B161;Hépatite aiguë B avec agent delta, sans coma hépatique
B162;Hépatite aiguë B sans agent delta, avec coma hépatique
B169;Hépatite (aiguë) B (sans agent delta et sans coma hépatique)
B171;Hépatite aiguë C
B172;Hépatite aiguë E
B178;Autres hépatites virales aiguës précisées
B180;Hépatite virale chronique B avec agent delta
B181;Hépatite virale chronique B sans agent delta
B182;Hépatite virale chronique C
B189;Hépatite virale chronique, sans précision
B190;Hépatite virale, sans précision, avec coma
B200;Maladie par VIH à l'origine d'une infection mycobactérienne
B201;Maladie par VIH à l'origine d'autres infections bactériennes
B202;Maladie par VIH à l'origine d'infections à cytomégalovirus
B203;Maladie par VIH à l'origine d'autres infections virales
B206;Maladie par VIH à l'origine de pneumopathie à Pneumocystis
B208;Maladie par VIH à l'origine d'autres maladies infectieuses et parasitaires
B210;Maladie par VIH à l'origine d'un sarcome de Kaposi
B211;Maladie par VIH à l'origine d'un lymphome de Burkitt
B213;Maladie par VIH à l'origine d'autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés
B219;Maladie par VIH à l'origine d'une tumeur maligne, sans précision
B220;Maladie par VIH à l'origine d'une encéphalopathie
B221;Maladie par VIH à l'origine d'une pneumopathie lymphoïde interstitielle
B222;Maladie par VIH à l'origine d'un syndrome cachectique
B227;Maladie par VIH à l'origine de maladies multiples classées ailleurs
B231;Maladie par VIH à l'origine d'adénopathies généralisées (persistantes)
B232;Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs
B238;Maladie par VIH à l'origine d'autres états précisés
B24+0;Pré-SIDA (A.R.C.) sans précision
B24+9;Infection par le V.I.H., sans précision
B250;Pneumopathie à cytomégalovirus (J17.1*)
B251;Hépatite à cytomégalovirus (K77.0*)
B252;Pancréatite à cytomégalovirus (K87.1*)
B258;Autres maladies à cytomégalovirus
B260;Orchite ourlienne (N51.1*)
B261;Méningite ourlienne (G02.0*)
B262;Encéphalite ourlienne (G05.1*)
B263;Pancréatite ourlienne (K87.1*)
B268;Oreillons avec autres complications
B269;Oreillons (sans complication)
B271;Mononucléose à cytomégalovirus
B279;Mononucléose infectieuse, sans précision
B300;Kératoconjonctivite due à un adénovirus (H19.2*)
B301;Conjonctivite due à un adénovirus (H13.1*)
B302;Pharyngo-conjonctivite virale
B303;Conjonctivite hémorragique (aiguë épidémique) (entérovirale) (H13.1*)
B308;Autres conjonctivites virales (H13.1*)
B330;Myalgie épidémique
B331;Maladie de la Ross River
B332;Cardite virale
B333;Infections à rétrovirus, non classées ailleurs
B338;Autres maladies à virus précisées
B340;Infection adénovirale, sans précision
B341;Infection entérovirale, sans précision
B342;Infection coronavirale, sans précision
B343;Infection parvovirale, sans précision
B344;Infection papovavirale, sans précision
B348;Autres infections virales, siège non précisé
B349;Infection virale, sans précision
B350;Teigne de la barbe et du cuir chevelu
B351;Teigne de l'ongle
B352;Teigne de la main
B353;Teigne du pied
B354;Teigne de la peau glabre
B355;Teigne imbriquée
B356;Teigne du membre inférieur
B358;Autres dermatophytoses
B359;Dermatophytose, sans précision
B360;Pityriasis versicolor
B361;Tinea nigra
B362;Piedra blanche
B363;Piedra noire
B368;Autres mycoses superficielles précisées
B369;Mycose superficielle, sans précision
B370;Stomatite à Candida
B371;Candidose pulmonaire
B372;Candidose de la peau et des ongles
B373;Candidose de la vulve et du vagin (N77.1*)
B374;Candidose d'autres localisations uro-génitales
B375;Méningite à Candida (G02.1*)
B376;Endocardite à Candida (I39.8*)
B377;Septicémie à Candida
B378;Autres localisations de candidose
B379;Candidose, sans précision
B380;Coccidioïdomycose pulmonaire aiguë
B381;Coccidioïdomycose pulmonaire chronique
B382;Coccidioïdomycose pulmonaire, sans précision
B383;Coccidioïdomycose cutanée
B384;Méningite à coccidioïdomycose (G02.1*)
B387;Coccidioïdomycose disséminée
B388;Autres formes de coccidioïdomycose
B389;Coccidioïdomycose, sans précision
B390;Histoplasmose pulmonaire aiguë à Histoplasma capsulatum
B391;Histoplasmose pulmonaire chronique à Histoplasma capsulatum
B392;Histoplasmose pulmonaire à Histoplasma capsulatum, sans précision
B393;Histoplasmose disséminée à Histoplasma capsulatum
B394;Histoplasmose à Histoplasma capsulatum, sans précision
B395;Histoplasmose à Histoplasma duboisii
B399;Histoplasmose, sans précision
B400;Blastomycose pulmonaire aiguë
B401;Blastomycose pulmonaire chronique
B402;Blastomycose pulmonaire, sans précision
B403;Blastomycose cutanée
B407;Blastomycose disséminée
B408;Autres formes de blastomycose
B409;Blastomycose, sans précision
B410;Paracoccidioïdomycose pulmonaire
B417;Paracoccidioïdomycose disséminée
B418;Autres formes de paracoccidioïdomycose
B419;Paracoccidioïdomycose, sans précision
B420;Sporotrichose pulmonaire (J99.8*)
B421;Sporotrichose lympho-cutanée
B427;Sporotrichose disséminée
B428;Autres formes de sporotrichose
B429;Sporotrichose, sans précision
B430;Chromomycose cutanée
B431;Abcès phaeohyphomycosique du cerveau
B432;Abcès et kyste phaeohyphomycosiques sous-cutanés
B438;Autres formes de chromomycose
B439;Chromomycose, sans précision
B440;Aspergillose pulmonaire invasive
B441;Autres aspergilloses pulmonaires
B442;Aspergillose amygdalienne
B447;Aspergillose disséminée
B448;Autres formes d'aspergillose
B449;Aspergillose, sans précision
B450;Cryptococcose pulmonaire
B451;Cryptococcose cérébrale
B452;Cryptococcose cutanée
B453;Cryptococcose osseuse
B457;Cryptococcose disséminée
B458;Autres formes de cryptococcose
B459;Cryptococcose, sans précision
B460;Mucormycose pulmonaire
B461;Mucormycose rhinocérébrale
B462;Mucormycose gastro-intestinale
B463;Mucormycose cutanée
B464;Mucormycose disséminée
B465;Mucormycose, sans précision
B468;Autres zygomycoses
B469;Zygomycose, sans précision
B470;Eumycétome
B471;Actinomycétome
B479;Mycétome, sans précision
B480;Lobomycose
B481;Rhinosporidose
B482;Allescheriase
B483;Géotrichose
B484;Pénicilliose
B487;Mycoses opportunistes
B488;Autres mycoses précisées
B49;Mycose, sans précision
B500;Paludisme à Plasmodium falciparum avec complications cérébrales
B508;Autres formes sévères et compliquées de paludisme à Plasmodium falciparum
B509;Paludisme à Plasmodium falciparum, sans précision
B510;Paludisme à Plasmodium vivax, avec rupture de la rate
B518;Paludisme à Plasmodium vivax, avec autres complications
B519;Paludisme à Plasmodium vivax, (sans complication)
B520;Paludisme à Plasmodium malariae, avec atteinte rénale
B528;Paludisme à Plasmodium malariae, avec autres complications
B529;Paludisme à Plasmodium malariae, (sans complication)
B530;Paludisme à Plasmodium ovale
B531;Paludisme à plasmodies simiennes
B538;Autres paludismes, confirmés par examen parasitologique, non classés ailleurs
B54;Paludisme, sans précision
B550;Leishmaniose viscérale
B551;Leishmaniose cutanée
B552;Leishmaniose cutanéo-muqueuse
B559;Leishmaniose, sans précision
B560;Trypanosomiase à Trypanosoma gambiense
B561;Trypanosomiase à Trypanosoma rhodesiense
B569;Trypanosomiase africaine, sans précision
B570;Forme aiguë de la maladie de Chagas, avec atteinte cardiaque (I41.2*, I98.1*)
B571;Forme aiguë de la maladie de Chagas, (sans atteinte cardiaque)
B572;Maladie de Chagas (chronique avec atteinte cardiaque) (I41.2*, I98.1*)
B573;Maladie de Chagas (chronique) avec atteinte de l'appareil digestif
B574;Maladie de Chagas (chronique) avec atteinte du système nerveux
B575;Maladie de Chagas (chronique) avec atteinte d'autres organes
B580;Oculopathie à Toxoplasma
B581;Hépatite à Toxoplasma (K77.0*)
B582;Méningo-encéphalite à Toxoplasma (G05.2*)
B583;Toxoplasmose pulmonaire (J17.3*)
B588;Toxoplasmose avec atteinte d'autres organes
B589;Toxoplasmose, sans précision
B59;Pneumocystose
B600;Babésiose
B601;Acanthamobiose
B602;Nægleriase
B608;Autres maladies précisées dues à des protozoaires
B6080;Microsporidiose
B6088;Maladie précisée due à d'autres protozoaires
B64;Maladie due à des protozoaires, sans précision
B650;Schistosomiase due à Schistosoma haematobium [schistosomiase urinaire]
B651;Schistosomiase due à Schistosoma mansoni [schistosomiase intestinale]
B652;Schistosomiase due à Schistosoma japonicum
B653;Dermite cercarienne
B658;Autres formes de schistosomiase
B659;Schistosomiase, sans précision
B660;Opisthorchiase
B661;Clonorchiase
B662;Dicrocoliase
B663;Fasciolase
B664;Paragonimiase
B665;Fasciolopsiase
B668;Autres infections par douves précisées
B669;Infection par douves, sans précision
B670;Infection hépatique à Echinococcus granulosus
B671;Infection pulmonaire à Echinococcus granulosus
B672;Infection osseuse à Echinococcus granulosus
B673;Infections à Echinococcus granulosus, autres et à localisations multiples
B674;Infection à Echinococcus granulosus, sans précision
B675;Infection hépatique à Echinococcus multilocularis
B676;Infections à Echinococcus multilocularis, autres et à localisations multiples
B677;Infection à Echinococcus multilocularis, sans précision
B678;Infection hépatique à Echinococcus, sans précision
B679;Infections à Echinococcus, autres et sans précision
B680;Infection à Taenia solium
B681;Infection à Taenia saginata
B689;Infection à Taenia, sans précision
B690;Cysticercose du système nerveux central
B691;Cysticercose de l'oil
B698;Cysticercose, autres localisations
B699;Cysticercose, sans précision
B700;Diphyllobothriase
B701;Sparganose
B710;Hyménolépiase
B711;Infection à Dipylidium
B718;Autres infections par cestodes, précisées
B719;Infection par cestodes, sans précision
B72;Dracunculose
B73;Onchocercose
B740;Filariose à Wuchereria bancrofti
B741;Filariose à Brugia malayi
B742;Filariose à Brugia timori
B743;Loase
B744;Mansonellose
B748;Autres filarioses
B749;Filariose, sans précision
